json_id,location,quarter,ticker,year
3458,../archive/2012.QTR3/0001193125-12-325789.json,3,CROX,2012
3459,../archive/2012.QTR3/0001080602-12-000024.json,3,ALZM.OB,2012
3460,../archive/2012.QTR3/0001437749-12-008241.json,3,WRBO,2012
3461,../archive/2012.QTR3/0001193125-12-354330.json,3,CTIG,2012
3462,../archive/2012.QTR3/0001052918-12-000404.json,3,ILVC,2012
3463,../archive/2012.QTR3/0001144204-12-049931.json,3,PROP,2012
3464,../archive/2012.QTR3/0001193125-12-382955.json,3,SJM,2012
3465,../archive/2012.QTR3/0001017386-12-000226.json,3,CYNX,2012
3466,../archive/2012.QTR3/0000029989-12-000015.json,3,OMC,2012
3467,../archive/2012.QTR3/0000350698-12-000054.json,3,AN,2012
3468,../archive/2012.QTR3/0001003297-12-000398.json,3,FHRT,2012
3469,../archive/2012.QTR3/0001225279-12-000180.json,3,DAC12,2012
3470,../archive/2012.QTR3/0001445305-12-002440.json,3,FRS,2012
3471,../archive/2012.QTR3/0001104659-12-053741.json,3,FLR,2012
3472,../archive/2012.QTR3/0001213900-12-005392.json,3,LWW,2012
3473,../archive/2012.QTR3/0001193125-12-346073.json,3,RGEN,2012
3474,../archive/2012.QTR3/0001062993-12-003255.json,3,HNDI,2012
3475,../archive/2012.QTR3/0001193125-12-319961.json,3,ZNGA,2012
3476,../archive/2012.QTR3/0001104659-12-057352.json,3,WLDN,2012
3477,../archive/2012.QTR3/0001019056-12-001023.json,3,QPON,2012
3478,../archive/2012.QTR3/0001193125-12-322332.json,3,FAF,2012
3479,../archive/2012.QTR3/0001193125-12-334209.json,3,DBP,2012
3480,../archive/2012.QTR3/0001165527-12-000848.json,3,NHMI,2012
3481,../archive/2012.QTR3/0001104659-12-057647.json,3,PLCSF,2012
3482,../archive/2012.QTR3/0000040194-12-000025.json,3,GNRG,2012
3483,../archive/2012.QTR3/0001193125-12-346835.json,3,WSO,2012
3484,../archive/2012.QTR3/0001140361-12-041234.json,3,ITDN,2012
3485,../archive/2012.QTR3/0000078890-12-000032.json,3,BCO,2012
3486,../archive/2012.QTR3/0001193125-12-339968.json,3,FSCI,2012
3487,../archive/2012.QTR3/0001193125-12-355599.json,3,SGGH,2012
3488,../archive/2012.QTR3/0000065201-12-000049.json,3,MPR,2012
3489,../archive/2012.QTR3/0001193125-12-316952.json,3,VPFG,2012
3490,../archive/2012.QTR3/0001157523-12-004353.json,3,JAKK,2012
3491,../archive/2012.QTR3/0001193125-12-334120.json,3,DBV,2012
3492,../archive/2012.QTR3/0001193125-12-349410.json,3,FDA,2012
3493,../archive/2012.QTR3/0001104659-12-052296.json,3,OFIX,2012
3494,../archive/2012.QTR3/0001193125-12-351923.json,3,SWWI,2012
3495,../archive/2012.QTR3/0000950159-12-000448.json,3,NPBC,2012
3496,../archive/2012.QTR3/0001144204-12-048731.json,3,AMCF,2012
3497,../archive/2012.QTR3/0001193125-12-334989.json,3,CODE,2012
3498,../archive/2012.QTR3/0001193125-12-389708.json,3,SYMM,2012
3499,../archive/2012.QTR3/0001013762-12-001617.json,3,SUNV,2012
3500,../archive/2012.QTR3/0001010549-12-000826.json,3,SACQ,2012
3501,../archive/2012.QTR3/0001104659-12-051455.json,3,OW,2012
3502,../archive/2012.QTR3/0001144204-12-045945.json,3,MBND,2012
3503,../archive/2012.QTR3/0001193125-12-336408.json,3,CSFL,2012
3504,../archive/2012.QTR3/0001193125-12-355576.json,3,PRSS,2012
3505,../archive/2012.QTR3/0001144204-12-044010.json,3,SCMP,2012
3506,../archive/2012.QTR3/0001390844-12-000005.json,3,WBC,2012
